"date";"text";"title";"permalink";"site name";"queries";"lang";"tone";"platform";"post type";"source name";"author";"screen name";"gender";"avatar";"inferred country";"inferred region";"inferred city";"inferred longitude";"inferred latitude";"inferred country population";"inferred region population";"inferred city population";"declared country";"declared region";"declared city";"declared longitude";"declared latitude";"declared country population";"declared region population";"declared city population";"twitter author id";"twitter verified author";"twitter followers";"twitter retweets";"twitter retweed of";"twitter replies";"twitter likes";"facebook author id";"facebook type";"facebook fans";"facebook likes";"facebook shares";"facebook comments";"facebook last update of the Likes / Shares / Comments";"instagram author id";"instagram followers";"instagram likes";"instagram comments";"instagram last update of the Likes / Comments";"web pagerank";"web inbound links";"web shares on twitter";"web comments";"sinaweibo author ID";"sinaweibo reposts";"sinaweibo repost of";"sinaweibo likes";"sinaweibo comments";"youtube author ID";"youtube views";"youtube likes";"youtube dislikes";"youtube comments";"youtube favourites";"youtube last update of views";"dailymotion author ID";"dailymotion views";"dailymotion comments";"dailymotion last update of views";"reviews Radarly normalized rating";"reviews platform rating";"impressions";"estimated reach";"embedded url";"media type";"media url";"image analysis_People detected";"image analysis_Gender detected";"image analysis_Object(s) and animal(s) detected";"image analysis_Logo(s) detected";"favorite";"keywords";"hashtags";"mentions";"named entities";"story";"topic";"Thématiques";"Personnalités politiques";"Attributs Harris Interactive"
"17/04/2017 09:40:02";"RT @butman782: Mélenchon veut interdire le porc dans les cantines scolaires pour qu’il n’y ait plus de problème https://t.co/BXu4F8tcJz";"";"https://twitter.com/France__Libre/status/853875686800490496";"http://twitter.com";"Jean-Luc Mélenchon";"fr";"negative";"Twitter";"share";"";"MakeFranceGreatAgain";"France__Libre";"";"https://pbs.twimg.com/profile_images/787581258985533440/eVB4xhtF_normal.jpg";"fr";"";"";"2.0";"46.0";"66627602";"";"";"xx";"";"";"";"";"1";"";"";"228484503";"false";"1078";"";"https://twitter.com/butman782/status/853849139091779584";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"10";"";"";"";"";"";"https://twitter.com/butman782/status/853849139091779584";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1078";"86";"http://resistancerepublicaine.eu/2017/04/16/melenchon-veut-interdire-le-porc-dans-les-cantines-scolaires-pour-quil-ny-ait-plus-de-probleme/";"";"";"";"";"";"";"no";"";"";"butman782";"";"30331516-1766-4053-808d-8c34aeec5bd3";"";"";"";""
"17/04/2017 09:39:03";"RT @noisettenl: Mélenchon veut interdire le porc dans les cantines scolaires pour qu’il n’y ait plus de problème https://t.co/xduTmB8dbz";"";"https://twitter.com/tchibeck/status/853875440599130114";"http://twitter.com";"Jean-Luc Mélenchon";"fr";"negative";"Twitter";"share";"";"Tchibeck ن";"tchibeck";"";"https://pbs.twimg.com/profile_images/510732930130264064/7L1_IJXD_normal.jpeg";"xx";"";"";"";"";"1";"";"";"xx";"";"";"";"";"1";"";"";"48667040";"false";"318";"";"https://twitter.com/noisettenl/status/853873426192363520";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"10";"";"";"";"";"";"https://twitter.com/noisettenl/status/853873426192363520";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"318";"25";"http://resistancerepublicaine.eu/2017/04/16/melenchon-veut-interdire-le-porc-dans-les-cantines-scolaires-pour-quil-ny-ait-plus-de-probleme/";"";"";"";"";"";"";"no";"";"";"noisettenl";"";"30331516-1766-4053-808d-8c34aeec5bd3";"";"";"";""
"17/04/2017 09:38:07";"RT @Resistance_R: Mélenchon veut interdire le porc dans les cantines scolaires pour qu’il n’y ait plus de problème https://t.co/LcnBayDfkj";"";"https://twitter.com/Louishofer5/status/853875203226705920";"http://twitter.com";"Jean-Luc Mélenchon";"fr";"negative";"Twitter";"share";"";"ArthurFrexit🇫🇷";"Louishofer5";"M";"https://pbs.twimg.com/profile_images/852993129364025345/uK3bfTSF_normal.jpg";"fr";"Provence-Alpes-Côte d'Azur";"Libre";"7.53166";"43.90594";"66627602";"4864015";"0";"xx";"";"";"";"";"1";"";"";"800251499649515520";"false";"358";"";"https://twitter.com/Resistance_R/status/853669803353047041";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"10";"";"";"";"";"";"https://twitter.com/Resistance_R/status/853669803353047041";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"358";"28";"http://resistancerepublicaine.eu/2017/04/16/melenchon-veut-interdire-le-porc-dans-les-cantines-scolaires-pour-quil-ny-ait-plus-de-probleme/";"";"";"";"";"";"";"no";"";"";"Resistance_R";"";"30331516-1766-4053-808d-8c34aeec5bd3";"";"";"";""
"17/04/2017 09:36:51";"RT @noisettenl: Mélenchon veut interdire le porc dans les cantines scolaires pour qu’il n’y ait plus de problème https://t.co/xduTmB8dbz";"";"https://twitter.com/prostetnic99/status/853874883796889600";"http://twitter.com";"Jean-Luc Mélenchon";"fr";"negative";"Twitter";"share";"";"Bob Morane";"prostetnic99";"M";"https://pbs.twimg.com/profile_images/849956236007231490/Ei0r-ah3_normal.jpg";"xx";"";"";"";"";"1";"";"";"xx";"";"";"";"";"1";"";"";"1485624266";"false";"248";"";"https://twitter.com/noisettenl/status/853873426192363520";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"10";"";"";"";"";"";"https://twitter.com/noisettenl/status/853873426192363520";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"248";"19";"http://resistancerepublicaine.eu/2017/04/16/melenchon-veut-interdire-le-porc-dans-les-cantines-scolaires-pour-quil-ny-ait-plus-de-probleme/";"";"";"";"";"";"";"no";"";"";"noisettenl";"";"30331516-1766-4053-808d-8c34aeec5bd3";"";"";"";""
"17/04/2017 09:35:39";"RT @noisettenl: Mélenchon veut interdire le porc dans les cantines scolaires pour qu’il n’y ait plus de problème https://t.co/xduTmB8dbz";"";"https://twitter.com/PRANEDOLLY/status/853874583052709888";"http://twitter.com";"Jean-Luc Mélenchon";"fr";"negative";"Twitter";"share";"";"DOLLY PRANE⚓️FN85";"PRANEDOLLY";"F";"https://pbs.twimg.com/profile_images/778317683540582400/4Iesjc3Q_normal.jpg";"fr";"Région Pays de la Loire";"";"-1.33333";"46.66667";"66627602";"3482594";"";"xx";"";"";"";"";"1";"";"";"573829733";"false";"8055";"";"https://twitter.com/noisettenl/status/853873426192363520";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"10";"";"";"";"";"";"https://twitter.com/noisettenl/status/853873426192363520";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"8055";"644";"http://resistancerepublicaine.eu/2017/04/16/melenchon-veut-interdire-le-porc-dans-les-cantines-scolaires-pour-quil-ny-ait-plus-de-probleme/";"";"";"";"";"";"";"no";"";"";"noisettenl";"";"30331516-1766-4053-808d-8c34aeec5bd3";"";"";"";""
"17/04/2017 09:34:23";"RT @Resistance_R: Mélenchon veut interdire le porc dans les cantines scolaires pour qu’il n’y ait plus de problème https://t.co/LcnBayDfkj";"";"https://twitter.com/beubeu693/status/853874262498738176";"http://twitter.com";"Jean-Luc Mélenchon";"fr";"negative";"Twitter";"share";"";"Benoît";"beubeu693";"M";"https://pbs.twimg.com/profile_images/845572574209806336/mRF_mjbD_normal.jpg";"de";"Rhénanie-Palatinat";"Ueß";"6.93333";"50.25";"81459000";"4012675";"48";"xx";"";"";"";"";"1";"";"";"2218933108";"false";"2239";"";"https://twitter.com/Resistance_R/status/853669803353047041";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"10";"";"";"";"";"";"https://twitter.com/Resistance_R/status/853669803353047041";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2239";"179";"http://resistancerepublicaine.eu/2017/04/16/melenchon-veut-interdire-le-porc-dans-les-cantines-scolaires-pour-quil-ny-ait-plus-de-probleme/";"";"";"";"";"";"";"no";"";"";"Resistance_R";"";"30331516-1766-4053-808d-8c34aeec5bd3";"";"";"";""
"17/04/2017 09:34:00";"RT @Resistance_R: Mélenchon veut interdire le porc dans les cantines scolaires pour qu’il n’y ait plus de problème https://t.co/LcnBayDfkj";"";"https://twitter.com/MinObiKnh/status/853874167300726784";"http://twitter.com";"Jean-Luc Mélenchon";"fr";"negative";"Twitter";"share";"";"JeChoisisMarine🔵⚪🔴";"MinObiKnh";"F";"https://pbs.twimg.com/profile_images/853627607962841088/dW2SDS0I_normal.jpg";"xx";"";"";"";"";"1";"";"";"xx";"";"";"";"";"1";"";"";"840298487631732736";"false";"242";"";"https://twitter.com/Resistance_R/status/853669803353047041";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"10";"";"";"";"";"";"https://twitter.com/Resistance_R/status/853669803353047041";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"242";"19";"http://resistancerepublicaine.eu/2017/04/16/melenchon-veut-interdire-le-porc-dans-les-cantines-scolaires-pour-quil-ny-ait-plus-de-probleme/";"";"";"";"";"";"";"no";"";"";"Resistance_R";"";"30331516-1766-4053-808d-8c34aeec5bd3";"";"";"";""
"17/04/2017 09:32:04";"RT @Resistance_R: Mélenchon veut interdire le porc dans les cantines scolaires pour qu’il n’y ait plus de problème https://t.co/LcnBayDfkj";"";"https://twitter.com/59000Mbk/status/853873680002293760";"http://twitter.com";"Jean-Luc Mélenchon";"fr";"negative";"Twitter";"share";"";"mbk";"59000Mbk";"";"https://pbs.twimg.com/profile_images/849216542109818885/30cjQIhT_normal.jpg";"xx";"";"";"";"";"1";"";"";"xx";"";"";"";"";"1";"";"";"796698013607612416";"false";"303";"";"https://twitter.com/Resistance_R/status/853669803353047041";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"10";"";"";"";"";"";"https://twitter.com/Resistance_R/status/853669803353047041";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"303";"24";"http://resistancerepublicaine.eu/2017/04/16/melenchon-veut-interdire-le-porc-dans-les-cantines-scolaires-pour-quil-ny-ait-plus-de-probleme/";"";"";"";"";"";"";"no";"";"";"Resistance_R";"";"30331516-1766-4053-808d-8c34aeec5bd3";"";"";"";""
"17/04/2017 09:31:03";"Mélenchon veut interdire le porc dans les cantines scolaires pour qu’il n’y ait plus de problème https://t.co/xduTmB8dbz";"";"https://twitter.com/noisettenl/status/853873426192363520";"http://twitter.com";"Jean-Luc Mélenchon";"fr";"negative";"Twitter";"post";"";"noisette";"noisettenl";"";"https://pbs.twimg.com/profile_images/628129432767700992/HqWCqSRv_normal.jpg";"fr";"Région Île-de-France";"Paris";"2.3488";"48.85341";"66627602";"11598866";"2138551";"xx";"";"";"";"";"1";"";"";"2785349764";"false";"277";"4";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1481";"118";"http://resistancerepublicaine.eu/2017/04/16/melenchon-veut-interdire-le-porc-dans-les-cantines-scolaires-pour-quil-ny-ait-plus-de-probleme/";"";"";"";"";"";"";"no";"";"";"";"";"30331516-1766-4053-808d-8c34aeec5bd3";"";"";"";""
"17/04/2017 09:30:24";"RT @Resistance_R: Mélenchon veut interdire le porc dans les cantines scolaires pour qu’il n’y ait plus de problème https://t.co/LcnBayDfkj";"";"https://twitter.com/AiglonL/status/853873260978733056";"http://twitter.com";"Jean-Luc Mélenchon";"fr";"negative";"Twitter";"share";"";"L'Aiglon";"AiglonL";"";"https://pbs.twimg.com/profile_images/677548799854792704/XRK14iEZ_normal.jpg";"fr";"Provence-Alpes-Côte d'Azur";"Villefranche-sur-Mer";"7.30776";"43.7047";"66627602";"4864015";"7105";"xx";"";"";"";"";"1";"";"";"2306035233";"false";"672";"";"https://twitter.com/Resistance_R/status/853669803353047041";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"10";"";"";"";"";"";"https://twitter.com/Resistance_R/status/853669803353047041";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"672";"53";"http://resistancerepublicaine.eu/2017/04/16/melenchon-veut-interdire-le-porc-dans-les-cantines-scolaires-pour-quil-ny-ait-plus-de-probleme/";"";"";"";"";"";"";"no";"";"";"Resistance_R";"";"30331516-1766-4053-808d-8c34aeec5bd3";"";"";"";""
